1204	2708	2.16128e+03 
1230	2045	1.70765e+03
1355	0	7.92517e+02
1355	341	3.11015e+03
1355	373	3.71424e+03
1385	590	7.11104e+03
1385	597	1.35397e+03
1385	627	9.48955e+02
1385	817	1009.77
1385	829	806.458
1435	1068	1259.54
1435	1297	1108.15
1435	1327	4025.85
1435	1353	1372.28
1435	1438	1269.69
1458	1947	1139.13
1458	2012	1295.5
1458	2015	1373.68
1458	2060	1244.81
1458	2173	4211.13
1470	1181	1259.04
1470	1740	1182.76
1470	1813	1052.81
1470	1838	1044.08
1499	119	1400.3
1499	248	3717.94
1499	290	1240.86
1499	358	1392.38
1511	74	1330.57
1511	231	1196.73
1511	2416	2734.58
1521	79	1876.52
1521	264	1276.03
1521	269	1166.03
1521	310	935.912
1521	409	1462.43
1521	410	1176.68
1521	411	1.03324e+03
1521	556	1390
1521	649	1442.37
1521	697	1431
1521	836	1.24347e+03
1521	844	1522.02
1521	942	1427.68
1521	982	1551.25
1521	1062	1568.94

