0	0	-14.9563	0.000155802	9.0221e-07
0	1	-16.1938	2.44628e-05	7.48436e-07
0	2	-3.58346	0.0001712	4.03051e-07
0	3	-24.2406	7.643e-05	3.0639e-07
0	4	-13.6744	0.000126656	1.97425e-07
0	5	-7.5117	3.19597e-05	1.69991e-07
1	0	-19.238	-0.000314798	4.95268e-07
1	1	-20.4429	-0.000207626	5.97173e-07
1	2	-7.82965	-0.000228874	3.03523e-07
1	3	-28.5052	-0.000213505	3.06337e-07
1	4	-17.8935	-0.000249074	1.8896e-07
1	5	-11.6629	-0.000232049	1.4826e-07
2	0	-14.5324	4.63226e-05	8.1467e-07
2	1	-15.7359	6.47703e-05	1.07594e-06
2	2	-3.14609	0.000103948	1.03345e-06
2	3	-23.7432	6.21242e-05	8.90988e-07
2	4	-13.1047	3.78447e-05	6.32796e-07
2	5	-6.9275	3.20976e-05	6.35224e-07
3	0	-14.5152	1.15585e-05	4.1039e-07
3	1	-15.645	4.03664e-05	5.44837e-07
3	2	-3.01786	7.90542e-05	3.69557e-07
3	3	-23.6109	2.05139e-05	5.16327e-07
3	4	-12.9791	-2.58974e-05	3.29128e-07
3	5	-6.71804	7.11106e-05	2.83927e-07
4	0	-18.1324	0.000268034	2.434e-07
4	1	-19.2114	0.000275547	2.51426e-07
4	2	-6.60521	0.000290374	3.45007e-07
4	3	-27.1949	0.000252289	3.67395e-07
4	4	-16.5004	0.000203071	3.37988e-07
4	5	-10.3335	0.000272757	6.68923e-07
5	0	-17.4493	-9.49276e-05	3.16769e-08
5	1	-18.4876	2.89437e-05	-4.16047e-08
5	2	-5.88119	-5.4057e-05	2.26086e-07
5	3	-26.4432	8.16832e-06	1.71188e-07
5	4	-15.7959	-5.05545e-06	3.19677e-07
5	5	-9.48399	-1.76308e-05	3.45833e-07
