2349	4	2	0
2347	4	2	1
2348	4	2	2
2322	4	2	3
2324	4	2	4
2299	4	2	5
2323	4	2	6
2278	4	2	7
2301	4	2	8
2261	4	2	9
2300	4	2	10
2260	4	2	11
2280	4	2	12
2247	4	2	13
2279	4	2	14
2246	4	2	15
2326	4	3	0
2350	4	3	1
2303	4	3	2
2325	4	3	3
2283	4	3	4
2302	4	3	5
2282	4	3	6
2281	4	3	7
2265	4	3	8
2263	4	3	9
2264	4	3	10
2262	4	3	11
2251	4	3	12
2249	4	3	13
2250	4	3	14
2248	4	3	15
2047	4	6	0
2046	4	6	1
2045	4	6	2
2044	4	6	3
2043	4	6	4
2042	4	6	5
2041	4	6	6
2040	4	6	7
2039	4	6	8
2038	4	6	9
2037	4	6	10
2036	4	6	11
2035	4	6	12
2034	4	6	13
2033	4	6	14
2032	4	6	15
2031	4	7	0
2030	4	7	1
2029	4	7	2
2028	4	7	3
2027	4	7	4
2026	4	7	5
2025	4	7	6
2024	4	7	7
2023	4	7	8
2022	4	7	9
2021	4	7	10
2020	4	7	11
2019	4	7	12
2018	4	7	13
2017	4	7	14
2016	4	7	15
2015	4	5	0
2014	4	5	1
2013	4	5	2
2012	4	5	3
2011	4	5	4
2010	4	5	5
2009	4	5	6
2008	4	5	7
2007	4	5	8
2006	4	5	9
2005	4	5	10
2004	4	5	11
2003	4	5	12
2002	4	5	13
2001	4	5	14
2000	4	5	15
1999	4	4	0
1998	4	4	1
1997	4	4	2
1996	4	4	3
1995	4	4	4
1994	4	4	5
1993	4	4	6
1992	4	4	7
1991	4	4	8
1990	4	4	9
1989	4	4	10
1988	4	4	11
1987	4	4	12
1986	4	4	13
1985	4	4	14
1984	4	4	15
1983	4	8	0
1982	4	8	1
1981	4	8	2
1980	4	8	3
1979	4	8	4
1978	4	8	5
1977	4	8	6
1976	4	8	7
1975	4	8	8
1974	4	8	9
1973	4	8	10
1972	4	8	11
1971	4	8	12
1970	4	8	13
1969	4	8	14
1968	4	8	15
1967	4	9	0
1966	4	9	1
1965	4	9	2
1964	4	9	3
1963	4	9	4
1962	4	9	5
1961	4	9	6
1960	4	9	7
1959	4	9	8
1958	4	9	9
1957	4	9	10
1956	4	9	11
1955	4	9	12
1954	4	9	13
1953	4	9	14
1952	4	9	15
