864	5	10	0
865	5	10	1
866	5	11	0
867	5	11	1
868	3	4	0
869	3	4	1
870	4	12	0
871	4	12	1
872	3	5	0
873	3	5	1
874	5	0	0
875	5	0	1
876	5	1	0
877	5	1	1
878	5	3	0
879	5	3	1
880	5	4	0
881	5	4	1
882	5	2	0
883	5	2	1
884	5	5	0
885	5	5	1
886	4	13	0
887	4	13	1
888	4	15	0
889	4	15	1
890	4	8	0
891	4	8	1
892	4	6	0
893	4	6	1
894	4	3	0
895	4	3	1
896	4	4	0
897	4	4	1
898	4	5	0
899	4	5	1
900	4	10	0
901	4	10	1
902	4	9	0
903	4	9	1
904	5	8	0
905	5	8	1
906	4	11	0
907	4	11	1
908	4	7	0
909	4	7	1
910	4	2	0
911	4	2	1
912	5	10	2
913	5	10	3
914	5	11	2
915	5	11	3
916	3	4	2
917	3	4	3
918	4	12	2
919	4	12	3
920	3	5	2
921	3	5	3
922	5	0	2
923	5	0	3
924	5	1	2
925	5	1	3
926	5	3	2
927	5	3	3
928	5	4	2
929	5	4	3
930	5	2	2
931	5	2	3
932	5	5	2
933	5	5	3
934	4	13	2
935	4	13	3
936	4	15	2
937	4	15	3
938	4	8	2
939	4	8	3
940	4	6	2
941	4	6	3
942	4	3	2
943	4	3	3
944	4	4	2
945	4	4	3
946	4	5	2
947	4	5	3
948	4	10	2
949	4	10	3
950	4	9	2
951	4	9	3
952	5	8	2
953	5	8	3
954	4	11	2
955	4	11	3
956	4	7	2
957	4	7	3
958	4	2	2
959	4	2	3
960	5	10	4
961	5	10	5
962	5	11	4
963	5	11	5
964	3	4	4
965	3	4	5
966	4	12	4
967	4	12	5
968	3	5	4
969	3	5	5
970	5	0	4
971	5	0	5
972	5	1	4
973	5	1	5
974	5	3	4
975	5	3	5
976	5	4	4
977	5	4	5
978	5	2	4
979	5	2	5
980	4	6	4
981	4	6	5
982	4	3	4
983	4	3	5
984	4	4	4
985	4	4	5
986	4	5	4
987	4	5	5
988	4	10	4
989	4	10	5
990	4	9	4
991	4	9	5
992	5	8	4
993	5	8	5
994	4	11	4
995	4	11	5
996	4	7	4
997	4	7	5
998	4	2	4
999	4	2	5
1000	5	10	6
1001	5	10	7
1002	5	11	6
1003	5	11	7
1004	3	4	6
1005	3	4	7
1006	4	12	6
1007	4	12	7
1008	3	5	6
1009	3	5	7
1010	5	0	6
1011	5	0	7
1012	5	1	6
1013	5	1	7
1014	5	3	6
1015	5	3	7
1016	5	4	6
1017	5	4	7
1018	5	2	6
1019	5	2	7
1020	4	6	6
1021	4	6	7
1022	4	3	6
1023	4	3	7
