0	71	-5.56578
1	70	-6.56332
2	71	-5.56087
3	71.5	-5.05841
4	71	-5.55596
5	71	-5.5535
6	71	-5.55104
7	71.5	-5.04859
8	71.5	-5.04613
9	70	-6.54368
10	71.5	-5.04122
11	71	-5.53877
12	70.5	-6.03631
13	71.5	-5.03385
14	70.5	-6.0314
15	71.5	-5.02894
16	70.5	-6.02649
17	70.5	-6.02403
18	70.5	-6.02157
19	71	-5.51912
20	69.5	-7.01666
21	70.5	-6.01421
22	70.5	-6.01175
23	70.5	-6.00929
24	70	-6.50684
25	70	-6.50438
26	71.5	-5.00193
27	70	-6.49947
28	70.5	-5.99702
29	71.5	-4.99456
30	71	-5.4921
31	71.5	-4.98965
32	70.5	-5.98719
33	70.5	-5.98474
34	70.5	-5.98228
35	70.5	-5.97982
36	70	-6.47737
37	70.5	-5.97491
38	71.5	-4.97246
39	71	-5.47
40	70.5	-5.96754
41	70	-6.46509
42	70.5	-5.96263
43	71	-5.46018
44	70	-6.45772
45	71	-5.45527
46	71	-5.45281
47	70.5	-5.95035
48	71.5	-5.02182
49	70.5	-6.01936
50	69.5	-7.01691
51	70.5	-6.01445
52	70	-6.512
53	70	-6.50954
54	71	-5.50708
55	70.5	-6.00463
56	70	-6.50217
57	70.5	-5.99972
58	70.5	-5.99726
59	70	-6.49481
60	70.5	-5.99235
61	70.5	-5.98989
62	71	-5.48744
63	71	-5.48498
64	70	-6.48253
65	71	-5.48007
66	70.5	-5.97761
67	70.5	-5.97516
68	72	-4.4727
69	69.5	-6.97025
70	70	-6.46779
71	70	-6.46533
72	70.5	-5.96288
73	70.5	-5.96042
74	71	-5.45797
75	69.5	-6.95551
76	71.5	-4.95306
77	70.5	-5.9506
78	70.5	-5.94814
79	70.5	-5.94569
80	70	-6.44323
81	69.5	-6.94078
82	71.5	-4.93832
83	70.5	-5.93586
84	70	-6.43341
85	70	-6.43095
86	69.5	-6.9285
87	70	-6.42604
88	70.5	-5.92358
89	70	-6.42113
90	70	-6.41867
91	70	-6.41622
92	70	-6.41376
93	70	-6.41131
94	71	-5.40885
95	71	-5.40639
96	71	-5.47786
97	71	-5.4754
98	71	-5.47295
99	69.5	-6.97049
100	71	-5.46804
101	71	-5.46558
