0	-230.426	-164.485	-102.035	-44.6632	19.5312	87.0262	-202.093	-136.305	-73.5142	-17.0137	46.8171	114.639	-175.999	-108.875	-46.3915	9.15704	72.9213	140.939	-153.063	-85.9142	-21.6376	34.0639	96.5549	164.073	-126.196	-59.6387	3.92626	60.9212	123.932	189.963	-99.3555	-32.2007	31.9811	88.6525	152.863	218.279
1	-230.55	-164.58	-100.511	-45.1368	20.1218	85.7671	-202.355	-136.377	-73.5317	-16.6805	46.3658	114.804	-176.343	-108.781	-46.1129	10.3323	73.0842	140.841	-152.115	-85.2058	-21.3926	33.8274	96.0947	163.607	-126.483	-59.1635	5.05681	61.03	123.48	190.15	-98.3099	-32.0797	32.1651	88.8225	153.326	217.955
2	-230.045	-165.065	-100.728	-44.3186	19.3008	86.4436	-202.63	-135.544	-73.5719	-17.1816	46.9257	114.151	-176.327	-108.701	-46.4374	10.0028	73.6316	140.918	-152.968	-84.913	-21.8958	33.786	96.7152	163.67	-126.111	-59.2451	3.87625	61.2244	123.52	189.923	-98.8807	-32.5459	30.9742	88.8288	152.663	217.694
3	-230.236	-165.611	-101.279	-43.7455	19.5407	86.0645	-202.766	-136.246	-73.7618	-16.6643	47.5619	114.72	-176.401	-108.393	-46.6283	9.94291	73.4274	140.703	-153.489	-85.3856	-21.9322	33.9499	96.7671	163.548	-127.987	-59.1867	3.89539	61.4947	123.095	189.924	-98.1058	-30.6535	31.7233	88.3929	153.342	217.946
4	-230.523	-164.865	-101.251	-43.9787	19.56	87.1892	-201.862	-136.241	-72.8162	-17.0819	46.7007	114.583	-176.164	-108.713	-46.5034	10.0384	73.2736	139.962	-153.359	-85.2263	-22.0155	33.9789	96.5846	163.132	-127.127	-61.0457	4.39844	60.9755	123.099	190.402	-98.1377	-31.352	32.5458	88.7399	152.352	217.433
5	-230.468	-164.75	-100.844	-44.3054	20.7072	87.0708	-202.173	-136.322	-73.572	-15.7882	47.1941	114.111	-175.761	-108.327	-46.4774	9.17816	73.3801	141.6	-153.577	-85.1757	-21.6652	33.9803	97.0252	163.766	-127.141	-60.0499	4.69122	61.1964	123.813	190.515	-98.8732	-31.6826	31.829	88.2905	152.541	217.509
6	-230.725	-164.67	-100.841	-44.9396	20.0108	87.1643	-202.478	-136.657	-74.0079	-16.9323	47.2193	114.509	-176.593	-109.202	-46.5995	9.36301	73.3376	140.786	-153.86	-85.5937	-21.889	33.4171	96.7173	163.384	-127.072	-59.5384	4.14171	60.9945	123.486	189.848	-99.1273	-32.1173	32.4871	89.0649	152.361	218.09
7	-230.558	-164.733	-101.356	-44.4991	19.5407	86.0692	-202.123	-136.312	-72.8339	-16.6187	46.8312	114.134	-175.836	-108.699	-46.8381	9.28312	73.4728	140.239	-154.258	-85.6312	-21.4191	33.6577	96.1417	164.39	-126.42	-60.3253	4.39126	61.4028	123.32	189.876	-98.248	-31.3593	31.9413	88.4058	153.23	217.826
8	-230.243	-164.659	-100.169	-43.7718	20.0716	85.979	-202.356	-136.677	-73.2638	-16.6336	46.9797	113.619	-176.426	-108.802	-46.293	9.4036	73.1779	140.456	-153.338	-85.6003	-21.9731	33.7956	95.9079	163.816	-126.694	-59.9279	4.87212	61.364	123.677	189.624	-98.8882	-31.6368	32.0524	88.1835	153.068	217.755
9	-230.513	-164.818	-100.91	-44.8896	18.8934	86.7539	-202.049	-136.521	-73.7901	-16.649	46.8865	113.883	-176.072	-108.995	-46.2994	9.26837	73.1742	141.19	-153.827	-85.3169	-21.807	34.2227	96.4768	164.206	-126.923	-59.9242	4.31879	60.9703	123.806	190.764	-98.659	-31.4466	32.4172	88.1655	152.7	218.095
